==27211== NVPROF is profiling process 27211, command: ./sandbox s2 64 400 ./output/Exp3/Exp3_BL_2Pow16RemotePlusLocalAtomics_RAND400_cpu.csv
==27211== Profiling application: ./sandbox s2 64 400 ./output/Exp3/Exp3_BL_2Pow16RemotePlusLocalAtomics_RAND400_cpu.csv
==27211== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",37.355776,0.000346,40,0.000009,0.000009,0.000009,"[CUDA memcpy HtoD]"
"GPU activities",32.223052,0.000299,80,0.000004,0.000002,0.000006,"[CUDA memcpy DtoH]"
"GPU activities",30.421172,0.000282,40,0.000007,0.000006,0.000009,"aggregateEx(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)"
