==26964== NVPROF is profiling process 26964, command: ./sandbox b2 32 4000 ./output/Exp3/Exp3_BL_2Pow15LocalAtomics_RAND4000_cpu.csv
==26964== Profiling application: ./sandbox b2 32 4000 ./output/Exp3/Exp3_BL_2Pow15LocalAtomics_RAND4000_cpu.csv
==26964== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",32.695102,0.000205,50,0.000004,0.000003,0.000006,"[CUDA memcpy DtoH]"
"GPU activities",32.063608,0.000201,40,0.000005,0.000005,0.000005,"[CUDA memcpy HtoD]"
"GPU activities",16.948489,0.000106,30,0.000004,0.000003,0.000004,"[CUDA memcpy PtoP]"
"GPU activities",14.030375,0.000088,40,0.000002,0.000002,0.000005,"aggregate(unsigned int*, unsigned int, unsigned int*)"
"GPU activities",4.262427,0.000027,10,0.000003,0.000002,0.000005,"combine_devices_results(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int)"
