==33176== NVPROF is profiling process 33176, command: ./sandbox b1 524288 400 ./output/Exp3/Exp3_BL_2Pow29LocalAtomics_CPUMerge_RAND400_cpu.csv
==33176== Profiling application: ./sandbox b1 524288 400 ./output/Exp3/Exp3_BL_2Pow29LocalAtomics_CPUMerge_RAND400_cpu.csv
==33176== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",34.859706,4.489277,80,0.056116,0.000004,0.117774,"[CUDA memcpy DtoH]"
"GPU activities",34.852184,4.488308,40,0.112208,0.110152,0.173710,"[CUDA memcpy HtoD]"
"GPU activities",30.288110,3.900541,40,0.097514,0.093525,0.110066,"aggregate(unsigned int*, unsigned int, unsigned int*)"
