==13513== NVPROF is profiling process 13513, command: ./sandbox s2 8192 400000 ./output/Exp3/Exp3_BL_2Pow23RemotePlusLocalAtomics_RAND400000_cpu.csv
==13513== Profiling application: ./sandbox s2 8192 400000 ./output/Exp3/Exp3_BL_2Pow23RemotePlusLocalAtomics_RAND400000_cpu.csv
==13513== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",49.459577,0.064980,40,0.001624,0.001574,0.001673,"[CUDA memcpy HtoD]"
"GPU activities",48.670703,0.063943,80,0.000799,0.000125,0.001543,"[CUDA memcpy DtoH]"
"GPU activities",1.869720,0.002456,40,0.000061,0.000058,0.000065,"aggregateEx(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)"
