==27356== NVPROF is profiling process 27356, command: ./sandbox s2 64 4000 ./output/Exp3/Exp3_BL_2Pow16RemotePlusLocalAtomics_RAND4000_cpu.csv
==27356== Profiling application: ./sandbox s2 64 4000 ./output/Exp3/Exp3_BL_2Pow16RemotePlusLocalAtomics_RAND4000_cpu.csv
==27356== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",43.439910,0.000348,40,0.000009,0.000009,0.000009,"[CUDA memcpy HtoD]"
"GPU activities",39.983919,0.000320,80,0.000004,0.000002,0.000006,"[CUDA memcpy DtoH]"
"GPU activities",16.576171,0.000133,40,0.000003,0.000002,0.000005,"aggregateEx(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)"
