==26867== NVPROF is profiling process 26867, command: ./sandbox b1 32 400 ./output/Exp3/Exp3_BL_2Pow15LocalAtomics_CPUMerge_RAND400_cpu.csv
==26867== Profiling application: ./sandbox b1 32 400 ./output/Exp3/Exp3_BL_2Pow15LocalAtomics_CPUMerge_RAND400_cpu.csv
==26867== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",37.401395,0.000208,80,0.000003,0.000002,0.000004,"[CUDA memcpy DtoH]"
"GPU activities",36.229531,0.000202,40,0.000005,0.000005,0.000005,"[CUDA memcpy HtoD]"
"GPU activities",26.369074,0.000147,40,0.000004,0.000003,0.000007,"aggregate(unsigned int*, unsigned int, unsigned int*)"
