==30093== NVPROF is profiling process 30093, command: ./sandbox b1 4096 4000 ./output/Exp3/Exp3_BL_2Pow22LocalAtomics_CPUMerge_RAND4000_cpu.csv
==30093== Profiling application: ./sandbox b1 4096 4000 ./output/Exp3/Exp3_BL_2Pow22LocalAtomics_CPUMerge_RAND4000_cpu.csv
==30093== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",47.922427,0.028589,40,0.000715,0.000680,0.000749,"[CUDA memcpy HtoD]"
"GPU activities",40.710985,0.024287,80,0.000304,0.000006,0.001072,"[CUDA memcpy DtoH]"
"GPU activities",11.366587,0.006781,40,0.000170,0.000160,0.000183,"aggregate(unsigned int*, unsigned int, unsigned int*)"
