==12970== NVPROF is profiling process 12970, command: ./sandbox b2 2048 400000 ./output/Exp3/Exp3_BL_2Pow21LocalAtomics_RAND400000_cpu.csv
==12970== Profiling application: ./sandbox b2 2048 400000 ./output/Exp3/Exp3_BL_2Pow21LocalAtomics_RAND400000_cpu.csv
==12970== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",47.138422,0.016412,50,0.000328,0.000162,0.001011,"[CUDA memcpy DtoH]"
"GPU activities",36.990325,0.012879,40,0.000322,0.000290,0.000567,"[CUDA memcpy HtoD]"
"GPU activities",11.621833,0.004046,30,0.000135,0.000135,0.000136,"[CUDA memcpy PtoP]"
"GPU activities",2.532101,0.000882,10,0.000088,0.000088,0.000089,"combine_devices_results(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int)"
"GPU activities",1.717319,0.000598,40,0.000015,0.000012,0.000017,"aggregate(unsigned int*, unsigned int, unsigned int*)"
