==31620== NVPROF is profiling process 31620, command: ./sandbox s2 65536 400 ./output/Exp3/Exp3_BL_2Pow26RemotePlusLocalAtomics_RAND400_cpu.csv
==31620== Profiling application: ./sandbox s2 65536 400 ./output/Exp3/Exp3_BL_2Pow26RemotePlusLocalAtomics_RAND400_cpu.csv
==31620== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",35.295240,0.594221,40,0.014856,0.013587,0.029761,"[CUDA memcpy HtoD]"
"GPU activities",32.761641,0.551566,80,0.006895,0.000002,0.014354,"[CUDA memcpy DtoH]"
"GPU activities",31.943119,0.537785,40,0.013445,0.013396,0.013489,"aggregateEx(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)"
