==15767== NVPROF is profiling process 15767, command: ./sandbox b1 1048576 40000 ./output/Exp3/Exp3_BL_2Pow30LocalAtomics_CPUMerge_RAND40000_cpu.csv
==15767== Profiling application: ./sandbox b1 1048576 40000 ./output/Exp3/Exp3_BL_2Pow30LocalAtomics_CPUMerge_RAND40000_cpu.csv
==15767== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",36.772934,9.487711,40,0.237193,0.222815,0.353684,"[CUDA memcpy HtoD]"
"GPU activities",36.023386,9.294322,80,0.116179,0.000051,0.353245,"[CUDA memcpy DtoH]"
"GPU activities",27.203680,7.018767,40,0.175469,0.167616,0.196266,"aggregate(unsigned int*, unsigned int, unsigned int*)"
