==29408== NVPROF is profiling process 29408, command: ./sandbox s2 2048 400 ./output/Exp3/Exp3_BL_2Pow21RemotePlusLocalAtomics_RAND400_cpu.csv
==29408== Profiling application: ./sandbox s2 2048 400 ./output/Exp3/Exp3_BL_2Pow21RemotePlusLocalAtomics_RAND400_cpu.csv
==29408== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",43.609720,0.012355,40,0.000309,0.000283,0.000540,"[CUDA memcpy HtoD]"
"GPU activities",33.259623,0.009423,40,0.000236,0.000212,0.000261,"aggregateEx(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)"
"GPU activities",23.130657,0.006553,80,0.000082,0.000002,0.000162,"[CUDA memcpy DtoH]"
