==12378== NVPROF is profiling process 12378, command: ./sandbox b2 512 400000 ./output/Exp3/Exp3_BL_2Pow19LocalAtomics_RAND400000_cpu.csv
==12378== Profiling application: ./sandbox b2 512 400000 ./output/Exp3/Exp3_BL_2Pow19LocalAtomics_RAND400000_cpu.csv
==12378== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",61.831211,0.011435,50,0.000229,0.000041,0.001004,"[CUDA memcpy DtoH]"
"GPU activities",21.880736,0.004047,30,0.000135,0.000135,0.000135,"[CUDA memcpy PtoP]"
"GPU activities",9.894621,0.001830,40,0.000046,0.000045,0.000046,"[CUDA memcpy HtoD]"
"GPU activities",4.759402,0.000880,10,0.000088,0.000088,0.000089,"combine_devices_results(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int)"
"GPU activities",1.634030,0.000302,40,0.000008,0.000004,0.000011,"aggregate(unsigned int*, unsigned int, unsigned int*)"
