==34099== NVPROF is profiling process 34099, command: ./sandbox b1 1048576 400 ./output/Exp3/Exp3_BL_2Pow30LocalAtomics_CPUMerge_RAND400_cpu.csv
==34099== Profiling application: ./sandbox b1 1048576 400 ./output/Exp3/Exp3_BL_2Pow30LocalAtomics_CPUMerge_RAND400_cpu.csv
==34099== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,s,s,s,
"GPU activities",35.730597,9.372159,40,0.234304,0.219642,0.287014,"[CUDA memcpy HtoD]"
"GPU activities",34.466830,9.040672,80,0.113008,0.000004,0.235888,"[CUDA memcpy DtoH]"
"GPU activities",29.802574,7.817234,40,0.195431,0.187307,0.218653,"aggregate(unsigned int*, unsigned int, unsigned int*)"
